Celltype,Condition,Clusters,PatientID,nFeature,nCount,Rowinds
APOE+ FIB,LS,1,Patient1,553,1502.1774580972008,566
APOE+ FIB,LS,1,Patient1,406,1236.2480940962896,567
APOE+ FIB,LS,1,Patient1,502,1444.6889652928178,570
APOE+ FIB,LS,1,Patient1,503,1401.0300703201842,571
APOE+ FIB,LS,1,Patient1,546,1496.2652053833167,572
APOE+ FIB,LS,1,Patient1,446,1344.859400183249,574
APOE+ FIB,LS,1,Patient1,386,1230.9397750911958,576
APOE+ FIB,LS,1,Patient1,448,1352.316221576321,577
APOE+ FIB,LS,1,Patient1,320,1086.1022560370832,578
APOE+ FIB,LS,1,Patient1,493,1393.1560672702317,579
APOE+ FIB,LS,1,Patient1,358,1171.0109978302157,580
APOE+ FIB,LS,1,Patient1,503,1423.699445043441,581
APOE+ FIB,LS,1,Patient1,469,1358.7424159838051,582
APOE+ FIB,LS,1,Patient1,187,741.4507996951357,583
APOE+ FIB,LS,1,Patient1,514,1476.76462143151,584
APOE+ FIB,LS,1,Patient1,607,1609.7145692187355,585
APOE+ FIB,LS,1,Patient1,468,1374.732024456784,586
APOE+ FIB,LS,1,Patient1,407,1252.1157505822218,587
APOE+ FIB,LS,1,Patient1,360,1175.1311923632882,588
APOE+ FIB,LS,1,Patient1,475,1343.0506741679085,589
APOE+ FIB,LS,1,Patient1,348,1116.76431520747,590
APOE+ FIB,LS,1,Patient1,410,1264.6523960761415,591
APOE+ FIB,LS,1,Patient1,418,1315.7608544764562,593
APOE+ FIB,LS,1,Patient1,238,890.4772889535133,594
APOE+ FIB,LS,1,Patient1,427,1258.753839841086,595
APOE+ FIB,LS,1,Patient1,628,1646.4333269955107,597
APOE+ FIB,LS,1,Patient1,407,1231.7528347862044,598
APOE+ FIB,LS,1,Patient1,502,1465.335236621257,600
APOE+ FIB,LS,1,Patient1,402,1242.6060649227795,601
APOE+ FIB,LS,1,Patient1,375,1162.0649808529593,603
APOE+ FIB,LS,1,Patient1,452,1315.8414842789102,604
APOE+ FIB,LS,1,Patient1,437,1307.5384972407207,605
APOE+ FIB,LS,1,Patient1,521,1519.2900230449177,607
APOE+ FIB,LS,1,Patient1,433,1302.293852616635,608
APOE+ FIB,LS,1,Patient1,385,1199.4735042097805,609
APOE+ FIB,LS,1,Patient1,396,1229.9593334629744,610
APOE+ FIB,LS,1,Patient1,473,1377.1687080984068,612
APOE+ FIB,LS,1,Patient1,366,1187.6455584473226,613
APOE+ FIB,LS,1,Patient1,250,912.1624706263082,614
APOE+ FIB,LS,1,Patient1,364,1163.631000537821,615
APOE+ FIB,LS,1,Patient1,407,1229.6809729144256,616
APOE+ FIB,LS,1,Patient1,408,1270.3288797306368,617
APOE+ FIB,LS,1,Patient1,472,1361.9449247772134,618
APOE+ FIB,LS,1,Patient1,413,1273.119334818536,619
APOE+ FIB,LS,1,Patient1,296,1032.0249286825754,620
APOE+ FIB,LS,1,Patient1,497,1410.6858489760589,621
APOE+ FIB,LS,1,Patient1,423,1297.396452871694,622
APOE+ FIB,LS,1,Patient1,487,1385.8008621453905,623
APOE+ FIB,LS,1,Patient1,340,1130.8486378809603,625
APOE+ FIB,LS,1,Patient1,362,1143.3157641315436,626
APOE+ FIB,LS,1,Patient1,373,1150.9802887196834,629
APOE+ FIB,LS,1,Patient1,440,1310.1784896027025,630
APOE+ FIB,LS,1,Patient1,420,1282.3687401380303,631
APOE+ FIB,LS,1,Patient1,229,861.9339127367068,632
APOE+ FIB,LS,1,Patient1,316,1019.5325441415551,634
APOE+ FIB,LS,1,Patient1,551,1538.7975965854773,636
APOE+ FIB,LS,1,Patient1,414,1298.9707605826693,637
APOE+ FIB,LS,1,Patient1,291,1020.2753504954026,638
APOE+ FIB,LS,1,Patient1,380,1160.9442331344899,640
APOE+ FIB,LS,1,Patient1,355,1177.7341937990047,641
APOE+ FIB,LS,1,Patient1,276,987.9870629088964,642
APOE+ FIB,LS,1,Patient1,346,1136.391118634536,643
APOE+ FIB,LS,1,Patient1,434,1303.3592672292968,645
APOE+ FIB,LS,1,Patient1,381,1194.4442949694233,646
APOE+ FIB,LS,1,Patient1,334,1111.3436137278816,647
APOE+ FIB,LS,1,Patient1,306,1013.4636433282677,648
APOE+ FIB,LS,1,Patient1,350,1129.7104905872925,649
APOE+ FIB,LS,1,Patient1,385,1224.5537556608633,650
APOE+ FIB,LS,1,Patient1,409,1250.2629115330567,651
APOE+ FIB,LS,1,Patient1,178,717.7564505503116,652
APOE+ FIB,LS,1,Patient1,432,1304.5772429019528,653
APOE+ FIB,LS,1,Patient1,441,1363.1842279988298,655
APOE+ FIB,LS,1,Patient1,277,993.0761467041272,656
APOE+ FIB,LS,3,Patient1,405,1273.3049265343284,657
APOE+ FIB,LS,1,Patient1,387,1182.0637436113989,658
APOE+ FIB,LS,1,Patient1,443,1347.0698121510334,659
APOE+ FIB,LS,1,Patient1,288,1002.7338143911809,660
APOE+ FIB,LS,1,Patient1,279,992.8838229600701,661
APOE+ FIB,LS,1,Patient1,318,1038.1366678838915,662
